idx,A,B,C,mu,alpha,ehomo,elumo,egap,R2,zpve,U0,U,H,G,Cv,E
1149,1.62611,0.9385,0.70363,4.0279,70.71,0.03993,-0.24765,0.28758,1681.5189,0.184766,-573.619572,-573.60743,-573.606485,-573.657423,43.581,-573.80433734
1150,1.64057,0.96469,0.64413,3.0193,70.36,0.04962,-0.25718,0.3068,1724.9571,0.18611,-573.628302,-573.616786,-573.615842,-573.66547,42.539,-573.814411566
1151,1.91485,0.89831,0.7624,2.5223,69.72,0.04298,-0.24346,0.28644,1610.0715,0.186958,-573.63415,-573.622927,-573.621983,-573.67079,41.9,-573.821108709
1152,2.55345,0.66809,0.64027,1.5352,70.45,0.05518,-0.24087,0.29605,1856.038,0.186305,-573.633334,-573.621843,-573.620899,-573.670449,42.282,-573.819639021
1153,1.79794,0.84969,0.75386,1.5543,70.02,0.05221,-0.25383,0.30604,1665.1594,0.186683,-573.633677,-573.622306,-573.621362,-573.670357,42.176,-573.82035924
1154,3.06405,0.6139,0.59345,1.0707,70.3,0.04138,-0.2581,0.29948,1942.0984,0.187002,-573.635908,-573.624773,-573.623829,-573.672432,41.391,-573.822910385
1156,1.67846,0.93113,0.69976,5.1987,70.32,0.03936,-0.23768,0.27704,1679.6718,0.18581,-573.628228,-573.616526,-573.615582,-573.665372,42.867,-573.814038915
1157,1.83348,0.92743,0.66458,2.4408,70.52,0.02606,-0.25259,0.27865,1698.3743,0.186166,-573.627589,-573.615924,-573.61498,-573.665028,42.413,-573.813755132
1158,1.78765,1.06373,0.87261,3.0925,69.45,0.03383,-0.26867,0.3025,1460.3082,0.187901,-573.626201,-573.61534,-573.614396,-573.661832,41.047,-573.814101075
1159,2.52973,0.68793,0.64272,5.9485,70.19,0.03531,-0.24244,0.27775,1832.3342,0.186495,-573.631042,-573.619646,-573.618701,-573.668142,42.098,-573.81753782
1160,2.19128,0.75608,0.70675,4.3769,70.02,0.04378,-0.25596,0.29974,1720.635,0.187169,-573.632151,-573.621132,-573.620188,-573.668449,41.432,-573.819320181
1161,2.23361,0.69135,0.67885,2.429,70.59,0.04649,-0.25578,0.30227,1812.8132,0.184802,-573.62315,-573.611022,-573.610078,-573.660938,43.546,-573.807952167
1162,1.85187,0.87657,0.7704,2.7231,70.01,0.03847,-0.2583,0.29677,1624.6436,0.187671,-573.63205,-573.621106,-573.620162,-573.667974,41.102,-573.819720745
1163,1.61763,0.85052,0.80943,5.5944,69.94,0.03456,-0.24267,0.27723,1644.9672,0.186273,-573.626756,-573.615247,-573.614303,-573.663652,42.479,-573.81302905
1164,2.00063,0.82063,0.72721,3.5551,70.91,0.05064,-0.2394,0.29004,1690.8918,0.185234,-573.625102,-573.613237,-573.612293,-573.662669,42.914,-573.810335779
1165,3.17552,0.61136,0.58395,2.5723,71.01,0.05597,-0.25674,0.31271,1960.3053,0.185219,-573.628281,-573.617223,-573.616279,-573.664452,41.003,-573.813500114
1166,1.66612,0.82954,0.78061,5.97,70.41,0.04049,-0.24531,0.2858,1674.7584,0.185517,-573.619408,-573.607551,-573.606607,-573.657092,43.101,-573.804924305
1167,1.70183,0.94227,0.7761,0.5252,69.87,0.04552,-0.25821,0.30373,1601.8514,0.186166,-573.626771,-573.615174,-573.614229,-573.663792,42.566,-573.812937225
1168,2.36492,0.69188,0.60638,4.8365,70.52,0.03873,-0.24969,0.28842,1879.8651,0.186131,-573.628987,-573.617469,-573.616525,-573.666046,42.382,-573.815117905
1169,2.19377,0.7375,0.65435,4.5488,70.52,0.0495,-0.24988,0.29938,1798.822,0.186179,-573.629417,-573.617895,-573.616951,-573.666702,42.334,-573.815596193
1170,1.76901,0.86914,0.68283,1.0121,70.14,0.0507,-0.25463,0.30533,1727.074,0.186342,-573.630866,-573.61933,-573.618386,-573.667949,42.167,-573.817208761
1171,1.71214,0.92804,0.70088,2.4033,70.19,0.05331,-0.25799,0.3113,1674.2989,0.186047,-573.630518,-573.618903,-573.617958,-573.667438,42.701,-573.816564314
1172,1.86179,0.89127,0.6352,3.6368,70.92,0.04281,-0.24755,0.29036,1748.586,0.186723,-573.633953,-573.622779,-573.621835,-573.670388,41.808,-573.820675793
1173,2.23797,0.69704,0.66147,4.442,70.33,0.04132,-0.24916,0.29048,1822.8464,0.18657,-573.634808,-573.623522,-573.622578,-573.6715,41.897,-573.821378504
1174,1.95768,0.78478,0.74332,1.6209,69.81,0.05542,-0.25702,0.31244,1702.5374,0.186111,-573.629459,-573.617827,-573.616883,-573.667003,42.429,-573.81556953
1175,2.42017,0.7106,0.64191,5.3901,70.34,0.03956,-0.25286,0.29242,1817.0057,0.186309,-573.634183,-573.622748,-573.621804,-573.671145,42.186,-573.820491863
1176,1.94412,0.84666,0.79267,3.7303,69.91,0.03327,-0.25663,0.2899,1615.4961,0.187375,-573.637364,-573.626393,-573.625449,-573.673348,41.231,-573.824739042
1177,2.37,0.68722,0.60427,1.9347,70.32,0.04239,-0.25056,0.29295,1886.5343,0.186087,-573.630658,-573.619082,-573.618137,-573.66783,42.55,-573.816744402
1180,1.88881,0.90094,0.75678,2.6418,70.64,0.05865,-0.25005,0.3087,1624.1021,0.185975,-573.631187,-573.619539,-573.618595,-573.66808,42.642,-573.817161507
1181,1.55371,1.12503,1.02275,2.6645,69.33,0.04001,-0.26177,0.30178,1398.2164,0.188461,-573.631147,-573.620627,-573.619683,-573.666596,40.136,-573.819608168
1182,1.74672,0.89928,0.70987,1.6372,70.26,0.04503,-0.25961,0.30464,1675.5973,0.185892,-573.628037,-573.616424,-573.61548,-573.665004,42.763,-573.813929395
1184,1.92222,0.78112,0.71306,4.3001,70.35,0.04044,-0.24324,0.28368,1737.8401,0.185692,-573.628567,-573.616851,-573.615907,-573.665749,42.908,-573.814258642
