molecule_id,index,smi1,smi2,smi3,rmsd1,rmsd2,rmsd3,mmffenergy
9,114,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.055717512013471165,4.9884330472565226e-05,0.0556989063501389,66.75075917009863
9,115,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.1116401554258501,5.9432544204695335e-05,0.11163922040373468,66.00446341581855
9,117,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.04830002519844555,6.0961461606709706e-05,0.0483111141966457,71.11910886707908
9,118,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.06454962197669721,7.035883854526074e-05,0.06455778680496747,69.92055749266635
9,120,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.09821734749914132,6.938086648996527e-05,0.09822914860153854,67.52327782114317
9,121,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.43967864518889055,5.969380624114054e-05,0.4396743455424919,64.22111694618536
9,122,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.3799127336976305,8.822552594108297e-05,0.3798650349698461,71.7757879356019
9,123,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.19401682360480166,6.635172350797688e-05,0.19397851897171248,63.61687737667415
9,124,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.05073846477522431,6.641010859186588e-05,0.05074652776485145,68.090518417493
9,125,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.17919422906106447,7.365586911545129e-05,0.17923976233302774,65.63655746664219
9,126,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.4450819581843343,7.77132069675324e-05,0.4450485145508613,64.33045306062118
9,127,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.3590852220688146,0.00016792958079008701,0.3589506611740808,68.62510866949168
9,128,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.12474893829125118,5.5176808746788684e-05,0.12476267108654655,69.19747761172911
9,129,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.12637984478240313,8.748120736580763e-05,0.1264187855916144,72.04060985474717
9,131,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.2755161861488391,6.936493448744428e-05,0.27551889648474,68.2960981350395
9,132,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.10180232621361117,0.0001254909260704317,0.10184530752819816,64.74673530801374
9,133,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.17944770236416002,8.626323477001748e-05,0.17944123194155254,73.43290921551454
9,134,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.1332408344691526,6.968954063759734e-05,0.1332504569493339,65.03807989482253
9,135,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.0685793834380421,8.561492994529077e-05,0.06857581208906231,70.93108211900586
9,137,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.14277907919968025,0.00015349017741604352,0.14274514233676305,62.38388786680297
9,138,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.08130317543680501,9.303901677905743e-05,0.08131912931699804,67.55673395414719
9,142,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.08207966933280783,0.00011656904318693691,0.08205859050486937,67.60033979766439
9,143,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.2709140554397705,6.635676177446698e-05,0.2709374668341693,67.7967617626458
9,145,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.7499731688885574,0.03361622507959454,0.7403735684311714,69.26705384408592
9,148,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.1017891807372456,0.00012264409641736594,0.10178827927367147,66.27419914670044
