step,epoch,Cyclic_train,Cyclic_val,Cyclic_test,Decay_train,Decay_val,Decay_test
308000,311.1111111,1.4068,1.3779,1.3975,1.1996,1.2165,1.2503
309000,312.1212121,2.3669,1.4665,1.4694,1.1754,1.2185,1.2565
310000,313.1313131,1.2481,1.3837,1.4154,1.5836,1.2166,1.25
311000,314.1414141,1.217,1.5346,1.483,1.2177,1.2152,1.2508
312000,315.1515152,1.0677,1.3857,1.4576,1.3014,1.2147,1.2495
313000,316.1616162,1.6212,1.4411,1.4479,1.3336,1.2131,1.2503
314000,317.1717172,1.3537,1.4232,1.4274,1.1983,1.2134,1.2503
315000,318.1818182,1.4333,1.54,1.5649,1.0831,1.2171,1.2489
316000,319.1919192,1.2179,1.2306,1.2126,1.2609,1.2144,1.2501
317000,320.2020202,1.2369,1.2729,1.2425,1.2282,1.2188,1.2521
318000,321.2121212,1.092,1.0793,1.072,1.1386,1.2156,1.2493
319000,322.2222222,2.0412,1.5134,1.5786,1.247,1.2175,1.2527
320000,323.2323232,1.2793,1.1526,1.2248,1.1554,1.2146,1.2499
321000,324.2424242,1.3149,1.0579,1.1406,1.1218,1.2187,1.2508
322000,325.2525253,1.2235,1.201,1.2116,1.1247,1.2126,1.2488
323000,326.2626263,1.1713,1.1223,1.0711,1.3237,1.22,1.252
324000,327.2727273,1.0464,1.1174,1.1318,1.0828,1.2151,1.2494
325000,328.2828283,1.0803,1.0666,1.0771,1.3511,1.2162,1.2527
326000,329.2929293,1.1637,1.1004,1.1142,1.2478,1.2151,1.2508
327000,330.3030303,1.3289,1.2294,1.2167,1.2083,1.2148,1.2532
328000,331.3131313,1.0382,1.1274,1.0861,1.2222,1.2145,1.25
329000,332.3232323,0.9071,1.1876,1.2236,1.1181,1.2126,1.2487
330000,333.3333333,1.006,0.9694,1.0036,1.3088,1.2134,1.2494
331000,334.3434343,0.9445,1.0037,1.0173,1.3553,1.2145,1.2502
332000,335.3535354,1.1712,1.0343,1.0986,1.2214,1.2136,1.2512
333000,336.3636364,0.9494,1.0481,1.1162,1.3611,1.2142,1.249
334000,337.3737374,0.8625,1.0103,1.0287,1.2852,1.2156,1.2506
335000,338.3838384,0.9346,1.0149,1.0316,1.1752,1.2148,1.2503
336000,339.3939394,0.7459,0.9179,0.9663,1.0684,1.2162,1.2508
337000,340.4040404,1.0766,0.9319,0.9803,1.0785,1.2126,1.2502
338000,341.4141414,0.8903,0.9285,0.9941,1.4384,1.2134,1.25
339000,342.4242424,0.8424,0.9351,0.983,1.0269,1.2175,1.2493
340000,343.4343434,0.8672,0.8913,0.9573,1.1812,1.2136,1.2497
341000,344.4444444,0.7682,0.9202,0.9461,1.2309,1.2144,1.2504
342000,345.4545455,0.9337,0.8982,0.9336,1.1834,1.2139,1.2477
343000,346.4646465,0.8454,0.8905,0.937,1.383,1.2117,1.2471
344000,347.4747475,0.8326,0.8941,0.9272,1.3496,1.215,1.2485
345000,348.4848485,0.8425,0.8895,0.9289,1.1904,1.2141,1.2488
346000,349.4949495,0.846,0.8884,0.9259,1.2554,1.2147,1.2513
347000,350.5050505,1.7108,1.6562,1.7435,1.0894,1.2126,1.2479
348000,351.5151515,1.4001,1.1484,1.1762,1.3618,1.2111,1.248
349000,352.5252525,2.0932,1.1579,1.2219,1.221,1.2136,1.2486
350000,353.5353535,1.276,1.2367,1.2442,1.3056,1.2163,1.2489
351000,354.5454545,1.2255,1.2385,1.2868,1.056,1.2146,1.2505
352000,355.5555556,1.0477,1.4497,1.5183,1.2207,1.2159,1.2489
353000,356.5656566,1.292,1.4332,1.51,1.1625,1.2122,1.2487
354000,357.5757576,1.3949,1.3245,1.3078,1.1484,1.2125,1.2494
355000,358.5858586,1.0992,1.2109,1.2341,1.3487,1.2136,1.2485
356000,359.5959596,1.3312,1.6262,1.7224,1.2616,1.2122,1.2475
357000,360.6060606,1.0909,1.3779,1.3975,1.2949,1.2177,1.2524
358000,361.6161616,1.2825,1.3868,1.406,1.2405,1.2146,1.2489
359000,362.6262626,1.8364,1.6222,1.5755,1.3791,1.2179,1.2522
360000,363.6363636,1.3917,1.2215,1.2083,1.2575,1.2163,1.2511
